Grid Size ,85,,,,,,,,
 NULL, NodeType, GridX, GridY, Length, Width, Height, PosX, PosY, PosZ
0,1,14,1,2,2,0,28,2,0
0,1,14,0,2,2,0,28,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,16,0,2,2,0,32,0,0
0,1,16,1,2,2,0,32,2,0
0,1,15,1,2,2,0,30,2,0
0,0,16,0,2,2,0,32,0,0
0,1,15,1,2,2,0,30,2,0
0,1,15,0,2,2,0,30,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,17,0,2,2,0,34,0,0
0,1,17,1,2,2,0,34,2,0
0,1,16,1,2,2,0,32,2,0
0,0,17,0,2,2,0,34,0,0
0,1,16,1,2,2,0,32,2,0
0,1,16,0,2,2,0,32,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,18,0,2,2,0,36,0,0
0,1,18,1,2,2,0,36,2,0
0,1,17,1,2,2,0,34,2,0
0,0,18,0,2,2,0,36,0,0
0,1,17,1,2,2,0,34,2,0
0,1,17,0,2,2,0,34,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,19,0,2,2,0,38,0,0
0,1,19,1,2,2,0,38,2,0
0,1,18,1,2,2,0,36,2,0
0,0,19,0,2,2,0,38,0,0
0,1,18,1,2,2,0,36,2,0
0,1,18,0,2,2,0,36,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,20,0,2,2,0,40,0,0
0,1,20,1,2,2,0,40,2,0
0,1,19,1,2,2,0,38,2,0
0,0,20,0,2,2,0,40,0,0
0,1,19,1,2,2,0,38,2,0
0,1,19,0,2,2,0,38,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,21,0,2,2,0,42,0,0
0,1,21,1,2,2,0,42,2,0
0,1,20,1,2,2,0,40,2,0
0,0,21,0,2,2,0,42,0,0
0,1,20,1,2,2,0,40,2,0
0,1,20,0,2,2,0,40,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,22,0,2,2,0,44,0,0
0,1,22,1,2,2,0,44,2,0
0,1,21,1,2,2,0,42,2,0
0,0,22,0,2,2,0,44,0,0
0,1,21,1,2,2,0,42,2,0
0,1,21,0,2,2,0,42,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,23,0,2,2,0,46,0,0
0,1,23,1,2,2,0,46,2,0
0,1,22,1,2,2,0,44,2,0
0,0,23,0,2,2,0,46,0,0
0,1,22,1,2,2,0,44,2,0
0,1,22,0,2,2,0,44,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,24,0,2,2,0,48,0,0
0,1,24,1,2,2,0,48,2,0
0,1,23,1,2,2,0,46,2,0
0,0,24,0,2,2,0,48,0,0
0,1,23,1,2,2,0,46,2,0
0,1,23,0,2,2,0,46,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,25,0,2,2,0,50,0,0
0,1,25,1,2,2,0,50,2,0
0,1,24,1,2,2,0,48,2,0
0,0,25,0,2,2,0,50,0,0
0,1,24,1,2,2,0,48,2,0
0,1,24,0,2,2,0,48,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,26,0,2,2,0,52,0,0
0,1,26,1,2,2,0,52,2,0
0,1,25,1,2,2,0,50,2,0
0,0,26,0,2,2,0,52,0,0
0,1,25,1,2,2,0,50,2,0
0,1,25,0,2,2,0,50,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,27,0,2,2,0,54,0,0
0,1,27,1,2,2,0,54,2,0
0,1,26,1,2,2,0,52,2,0
0,0,27,0,2,2,0,54,0,0
0,1,26,1,2,2,0,52,2,0
0,1,26,0,2,2,0,52,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,28,0,2,2,0,56,0,0
0,1,28,1,2,2,0,56,2,0
0,1,27,1,2,2,0,54,2,0
0,0,28,0,2,2,0,56,0,0
0,1,27,1,2,2,0,54,2,0
0,1,27,0,2,2,0,54,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,29,0,2,2,0,58,0,0
0,1,29,1,2,2,0,58,2,0
0,1,28,1,2,2,0,56,2,0
0,0,29,0,2,2,0,58,0,0
0,1,28,1,2,2,0,56,2,0
0,1,28,0,2,2,0,56,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,30,0,2,2,0,60,0,0
0,1,30,1,2,2,0,60,2,0
0,1,29,1,2,2,0,58,2,0
0,0,30,0,2,2,0,60,0,0
0,1,29,1,2,2,0,58,2,0
0,1,29,0,2,2,0,58,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,31,0,2,2,0,62,0,0
0,1,31,1,2,2,0,62,2,0
0,1,30,1,2,2,0,60,2,0
0,0,31,0,2,2,0,62,0,0
0,1,30,1,2,2,0,60,2,0
0,1,30,0,2,2,0,60,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,32,0,2,2,0,64,0,0
0,1,32,1,2,2,0,64,2,0
0,1,31,1,2,2,0,62,2,0
0,0,32,0,2,2,0,64,0,0
0,1,31,1,2,2,0,62,2,0
0,1,31,0,2,2,0,62,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,33,0,2,2,0,66,0,0
0,1,33,1,2,2,0,66,2,0
0,1,32,1,2,2,0,64,2,0
0,0,33,0,2,2,0,66,0,0
0,1,32,1,2,2,0,64,2,0
0,1,32,0,2,2,0,64,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,34,0,2,2,0,68,0,0
0,1,34,1,2,2,0,68,2,0
0,1,33,1,2,2,0,66,2,0
0,0,34,0,2,2,0,68,0,0
0,1,33,1,2,2,0,66,2,0
0,1,33,0,2,2,0,66,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,35,0,2,2,0,70,0,0
0,1,35,1,2,2,0,70,2,0
0,1,34,1,2,2,0,68,2,0
0,0,35,0,2,2,0,70,0,0
0,1,34,1,2,2,0,68,2,0
0,1,34,0,2,2,0,68,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,36,0,2,2,0,72,0,0
0,1,36,1,2,2,0,72,2,0
0,1,35,1,2,2,0,70,2,0
0,0,36,0,2,2,0,72,0,0
0,1,35,1,2,2,0,70,2,0
0,1,35,0,2,2,0,70,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,37,0,2,2,0,74,0,0
0,1,37,1,2,2,0,74,2,0
0,1,36,1,2,2,0,72,2,0
0,0,37,0,2,2,0,74,0,0
0,1,36,1,2,2,0,72,2,0
0,1,36,0,2,2,0,72,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,38,0,2,2,0,76,0,0
0,1,38,1,2,2,0,76,2,0
0,1,37,1,2,2,0,74,2,0
0,0,38,0,2,2,0,76,0,0
0,1,37,1,2,2,0,74,2,0
0,1,37,0,2,2,0,74,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,39,0,2,2,0,78,0,0
0,1,39,1,2,2,0,78,2,0
0,1,38,1,2,2,0,76,2,0
0,0,39,0,2,2,0,78,0,0
0,1,38,1,2,2,0,76,2,0
0,1,38,0,2,2,0,76,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,40,0,2,2,0,80,0,0
0,1,40,1,2,2,0,80,2,0
0,1,39,1,2,2,0,78,2,0
0,0,40,0,2,2,0,80,0,0
0,1,39,1,2,2,0,78,2,0
0,1,39,0,2,2,0,78,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,41,0,2,2,0,82,0,0
0,1,41,1,2,2,0,82,2,0
0,1,40,1,2,2,0,80,2,0
0,0,41,0,2,2,0,82,0,0
0,1,40,1,2,2,0,80,2,0
0,1,40,0,2,2,0,80,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,42,0,2,2,0,84,0,0
0,1,42,1,2,2,0,84,2,0
0,1,41,1,2,2,0,82,2,0
0,0,42,0,2,2,0,84,0,0
0,1,41,1,2,2,0,82,2,0
0,1,41,0,2,2,0,82,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,43,0,2,2,0,86,0,0
0,1,43,1,2,2,0,86,2,0
0,1,42,1,2,2,0,84,2,0
0,0,43,0,2,2,0,86,0,0
0,1,42,1,2,2,0,84,2,0
0,1,42,0,2,2,0,84,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,44,0,2,2,0,88,0,0
0,1,44,1,2,2,0,88,2,0
0,1,43,1,2,2,0,86,2,0
0,0,44,0,2,2,0,88,0,0
0,1,43,1,2,2,0,86,2,0
0,1,43,0,2,2,0,86,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,45,0,2,2,0,90,0,0
0,1,45,1,2,2,0,90,2,0
0,1,44,1,2,2,0,88,2,0
0,0,45,0,2,2,0,90,0,0
0,1,44,1,2,2,0,88,2,0
0,1,44,0,2,2,0,88,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,46,0,2,2,0,92,0,0
0,1,46,1,2,2,0,92,2,0
0,1,45,1,2,2,0,90,2,0
0,0,46,0,2,2,0,92,0,0
0,1,45,1,2,2,0,90,2,0
0,1,45,0,2,2,0,90,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,47,0,2,2,0,94,0,0
0,1,47,1,2,2,0,94,2,0
0,1,46,1,2,2,0,92,2,0
0,0,47,0,2,2,0,94,0,0
0,1,46,1,2,2,0,92,2,0
0,1,46,0,2,2,0,92,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,48,0,2,2,0,96,0,0
0,1,48,1,2,2,0,96,2,0
0,1,47,1,2,2,0,94,2,0
0,0,48,0,2,2,0,96,0,0
0,1,47,1,2,2,0,94,2,0
0,1,47,0,2,2,0,94,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,49,0,2,2,0,98,0,0
0,1,49,1,2,2,0,98,2,0
0,1,48,1,2,2,0,96,2,0
0,0,49,0,2,2,0,98,0,0
0,1,48,1,2,2,0,96,2,0
0,1,48,0,2,2,0,96,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,50,0,2,2,0,100,0,0
0,1,50,1,2,2,0,100,2,0
0,1,49,1,2,2,0,98,2,0
0,0,50,0,2,2,0,100,0,0
0,1,49,1,2,2,0,98,2,0
0,1,49,0,2,2,0,98,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,51,0,2,2,0,102,0,0
0,1,51,1,2,2,0,102,2,0
0,1,50,1,2,2,0,100,2,0
0,0,51,0,2,2,0,102,0,0
0,1,50,1,2,2,0,100,2,0
0,1,50,0,2,2,0,100,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,52,0,2,2,0,104,0,0
0,1,52,1,2,2,0,104,2,0
0,1,51,1,2,2,0,102,2,0
0,0,52,0,2,2,0,104,0,0
0,1,51,1,2,2,0,102,2,0
0,1,51,0,2,2,0,102,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,53,0,2,2,0,106,0,0
0,1,53,1,2,2,0,106,2,0
0,1,52,1,2,2,0,104,2,0
0,0,53,0,2,2,0,106,0,0
0,1,52,1,2,2,0,104,2,0
0,1,52,0,2,2,0,104,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,54,0,2,2,0,108,0,0
0,1,54,1,2,2,0,108,2,0
0,1,53,1,2,2,0,106,2,0
0,0,54,0,2,2,0,108,0,0
0,1,53,1,2,2,0,106,2,0
0,1,53,0,2,2,0,106,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,55,0,2,2,0,110,0,0
0,1,55,1,2,2,0,110,2,0
0,1,54,1,2,2,0,108,2,0
0,0,55,0,2,2,0,110,0,0
0,1,54,1,2,2,0,108,2,0
0,1,54,0,2,2,0,108,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,56,0,2,2,0,112,0,0
0,1,56,1,2,2,0,112,2,0
0,1,55,1,2,2,0,110,2,0
0,0,56,0,2,2,0,112,0,0
0,1,55,1,2,2,0,110,2,0
0,1,55,0,2,2,0,110,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,57,0,2,2,0,114,0,0
0,1,57,1,2,2,0,114,2,0
0,1,56,1,2,2,0,112,2,0
0,0,57,0,2,2,0,114,0,0
0,1,56,1,2,2,0,112,2,0
0,1,56,0,2,2,0,112,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,58,0,2,2,0,116,0,0
0,1,58,1,2,2,0,116,2,0
0,1,57,1,2,2,0,114,2,0
0,0,58,0,2,2,0,116,0,0
0,1,57,1,2,2,0,114,2,0
0,1,57,0,2,2,0,114,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,59,0,2,2,0,118,0,0
0,1,59,1,2,2,0,118,2,0
0,1,58,1,2,2,0,116,2,0
0,0,59,0,2,2,0,118,0,0
0,1,58,1,2,2,0,116,2,0
0,1,58,0,2,2,0,116,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,60,0,2,2,0,120,0,0
0,1,60,1,2,2,0,120,2,0
0,1,59,1,2,2,0,118,2,0
0,0,60,0,2,2,0,120,0,0
0,1,59,1,2,2,0,118,2,0
0,1,59,0,2,2,0,118,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,61,0,2,2,0,122,0,0
0,1,61,1,2,2,0,122,2,0
0,1,60,1,2,2,0,120,2,0
0,0,61,0,2,2,0,122,0,0
0,1,60,1,2,2,0,120,2,0
0,1,60,0,2,2,0,120,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,62,0,2,2,0,124,0,0
0,1,62,1,2,2,0,124,2,0
0,1,61,1,2,2,0,122,2,0
0,0,62,0,2,2,0,124,0,0
0,1,61,1,2,2,0,122,2,0
0,1,61,0,2,2,0,122,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,63,0,2,2,0,126,0,0
0,1,63,1,2,2,0,126,2,0
0,1,62,1,2,2,0,124,2,0
0,0,63,0,2,2,0,126,0,0
0,1,62,1,2,2,0,124,2,0
0,1,62,0,2,2,0,124,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,64,0,2,2,0,128,0,0
0,1,64,1,2,2,0,128,2,0
0,1,63,1,2,2,0,126,2,0
0,0,64,0,2,2,0,128,0,0
0,1,63,1,2,2,0,126,2,0
0,1,63,0,2,2,0,126,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,65,0,2,2,0,130,0,0
0,1,65,1,2,2,0,130,2,0
0,1,64,1,2,2,0,128,2,0
0,0,65,0,2,2,0,130,0,0
0,1,64,1,2,2,0,128,2,0
0,1,64,0,2,2,0,128,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,66,0,2,2,0,132,0,0
0,1,66,1,2,2,0,132,2,0
0,1,65,1,2,2,0,130,2,0
0,0,66,0,2,2,0,132,0,0
0,1,65,1,2,2,0,130,2,0
0,1,65,0,2,2,0,130,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,67,0,2,2,0,134,0,0
0,1,67,1,2,2,0,134,2,0
0,1,66,1,2,2,0,132,2,0
0,0,67,0,2,2,0,134,0,0
0,1,66,1,2,2,0,132,2,0
0,1,66,0,2,2,0,132,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,68,0,2,2,0,136,0,0
0,1,68,1,2,2,0,136,2,0
0,1,67,1,2,2,0,134,2,0
0,0,68,0,2,2,0,136,0,0
0,1,67,1,2,2,0,134,2,0
0,1,67,0,2,2,0,134,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,69,0,2,2,0,138,0,0
0,1,69,1,2,2,0,138,2,0
0,1,68,1,2,2,0,136,2,0
0,0,69,0,2,2,0,138,0,0
0,1,68,1,2,2,0,136,2,0
0,1,68,0,2,2,0,136,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,70,0,2,2,0,140,0,0
0,1,70,1,2,2,0,140,2,0
0,1,69,1,2,2,0,138,2,0
0,0,70,0,2,2,0,140,0,0
0,1,69,1,2,2,0,138,2,0
0,1,69,0,2,2,0,138,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,71,0,2,2,0,142,0,0
0,1,71,1,2,2,0,142,2,0
0,1,70,1,2,2,0,140,2,0
0,0,71,0,2,2,0,142,0,0
0,1,70,1,2,2,0,140,2,0
0,1,70,0,2,2,0,140,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,72,0,2,2,0,144,0,0
0,1,72,1,2,2,0,144,2,0
0,1,71,1,2,2,0,142,2,0
0,0,72,0,2,2,0,144,0,0
0,1,71,1,2,2,0,142,2,0
0,1,71,0,2,2,0,142,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,73,0,2,2,0,146,0,0
0,1,73,1,2,2,0,146,2,0
0,1,72,1,2,2,0,144,2,0
0,0,73,0,2,2,0,146,0,0
0,1,72,1,2,2,0,144,2,0
0,1,72,0,2,2,0,144,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,74,0,2,2,0,148,0,0
0,1,74,1,2,2,0,148,2,0
0,1,73,1,2,2,0,146,2,0
0,0,74,0,2,2,0,148,0,0
0,1,73,1,2,2,0,146,2,0
0,1,73,0,2,2,0,146,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,75,0,2,2,0,150,0,0
0,1,75,1,2,2,0,150,2,0
0,1,74,1,2,2,0,148,2,0
0,0,75,0,2,2,0,150,0,0
0,1,74,1,2,2,0,148,2,0
0,1,74,0,2,2,0,148,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,76,0,2,2,0,152,0,0
0,1,76,1,2,2,0,152,2,0
0,1,75,1,2,2,0,150,2,0
0,0,76,0,2,2,0,152,0,0
0,1,75,1,2,2,0,150,2,0
0,1,75,0,2,2,0,150,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,77,0,2,2,0,154,0,0
0,1,77,1,2,2,0,154,2,0
